Accel X(g),Accel Y(g),Accel Z(g),Gyro X(rad/s),Gyro Y(rad/s),Gyro Z(rad/s)
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.02,1.07,-0.04,-0.04,0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.15,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.03,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,0.00
0.14,-0.02,1.06,-0.04,-0.04,0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.03,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.03,0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.03,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.02,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.13,-0.02,1.06,-0.03,-0.04,-0.00
0.15,-0.03,1.07,-0.04,-0.03,0.00
0.15,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.03,-0.00
0.15,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.04,1.07,-0.04,-0.03,0.00
0.15,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.15,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.03,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,0.00
0.14,-0.02,1.07,-0.04,-0.03,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.05,-0.00
0.13,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.03,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.03,-0.00
0.15,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.03,-0.04,-0.00
0.15,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.02,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.06,-0.04,-0.04,-0.00
0.14,-0.03,1.07,-0.04,-0.04,-0.00
0.14,-0.02,1.07,-0.04,-0.04,0.00
